"Código","Nombre oficial","Autor"
"12.04.12","Leucojo aestivi-Caricetum ripariae","Br.-Bl. 1936"
"12.04.13","Mentho-Caricetum calderae","Wildpret, Socorro & León 1987"
"12.04.14","Soncho maritimi-Cladietum marisci","(Br.-Bl. & O. Bolòs 1958) Cirujano 1980"
"12.05","Caricion broterianae","(Rivas-Martínez, Fernández-González & Sánchez-Mata 1986) J.A. Molina 1996"
"12.05.01","Caricetum mauritanicae","Díez-Garretas, Cuenca & Asensi 1988"
"12.05.02","Caricetum pseudocypero-lusitanicae","Rivas-Martínez & Costa in Rivas-Martínez, Costa, Castroviejo & E. Valdés 1980"
"12.05.03","Galio broteriani-Caricetum broterianae","Rivas-Martínez ex Fuente 1986"
"12.05.04","Galio palustris-Caricetum lusitanicae","Rivas-Martínez, Belmonte & Sánchez-Mata in Sánchez-Mata 1989"
"12.05.05","Holco reuteri-Caricetum acutiformis","Rivas-Martínez, Fernández-González, Sánchez-Mata & Pizarro 1990"
"12.05.06","Irido pseudacori-Caricetum lusitanicae","Bellot ex T.E. Díaz & F. Prieto 1994"
"12.06","Deschampsion argenteae","Capelo, J.C. Costa, Lousã, Fontinha, Jardim, Sequeira & Rivas-Martínez 2000"
"12.06.01","Deschampsietum argenteae","Sjögren ex Capelo, J.C. Costa, Lousã, Fontinha, Jardim, Sequeira & Rivas-Martínez 2000"
"12.06.02","Peucedano lowei-Oenanthetum divaricatae","De Foucault 2000"
"12.07","Scirpion compacti","Dahl & Hadac 1941 corr. Rivas-Martínez, Costa, Castroviejo & E. Valdés 1980"
"12.07.01","Scirpetum compacti","Van Langendock 1931 corr. Bueno & F. Prieto in Bueno 1997"
"12.07.02","Scirpo compacti-Phragmitetum australis","Bueno & F. Prieto in Bueno 1997"
"12.07.03","Scirpetum compacto-litoralis","(Br.-Bl. in Br.-Bl., Roussine & Nègre 1952) O. Bolòs 1962 corr. Rivas-Martínez, Costa, Castroviejo & E. Valdés 1980"
"12.07.04","Scirpetum compacto-tabernaemontani","Bueno & F. Prieto in Bueno 1997"
"12.07.05","Scirpetum pungentis","Vanden Berghen 1969"
"13","Oxycocco-Sphagnetea","Br.-Bl. & Tüxen ex Westhoff, Dijk & Passchier 1946"
"13.01","Ericion tetralicis","Schwickerath 1933"
"13.01.01","Erico tetralicis-Sphagnetum acutifolii","Touffet 1969"
"13.01.02","Tetralico-Narthecietum ossifragi","Br.-Bl. 1967"
"13.01.03","Calluno vulgaris-Sphagnetum capillifolii","F. Prieto, M.C. Fernández & Collado 1987"
"13.01.04","Calluno vulgaris-Sphagnetum subnitentis","Casanovas 1992"
"13.01.05","Drosero anglicae-Narthecietum ossifragi","F. Prieto, M.C. Fernández & Collado in T.E. Díaz & F. Prieto 1994"
"13.01.06","Erico tetralicis-Trichophoretum germanici","Rivas-Martínez, T.E. Díaz, F. Prieto, Loidi & Penas 1984"
"13.01.07","Junco squarrosi-Sphagnetum compacti","Br.-Bl., P. Silva, Rozeira & Fontes 1952"
"13.01.08","Narthecio ossifragi-Sphagnetum tenelli","F. Prieto, M.C. Fernández & Collado 1987"
"13.01.09","Narthecio ossifragi-Trichophoretum","Br.-Bl. 1948"
"13.01.10","Sphagno subnitentis-Ericetum tetralicis","Ballesteros, Baulies, Canalís & Sebastià ex Rivas-Martínez & Costa 1998"
"13.02","Erico mackaianae-Sphagnion papillosi","(F. Prieto, M.C. Fernández & Collado 1987) Rivas-Martínez, Fernández-González & Loidi 1999"
"13.02.01","Erico mackaianae-Sphagnetum papillosi","F. Prieto, M.C. Fernández & Collado 1987"
"14","Scheuchzerio-Caricetea fuscae","Tüxen 1937"
"14.01","Rhynchosporion albae","Koch 1926"
"14.01.01","Drosero intermediae-Rhynchosporetum albae","Allorge ex F. Prieto, M.C. Fernández & Collado 1987"
"14.01.02","Drosero longifoliae-Caricetum limosae","Rivas-Martínez in Loidi, Biurrun & Herrera 1997"
"14.01.03","Eleocharito multicaulis-Rhynchosporetum albae","C. Valle & F. Navarro ex Rivas-Martínez 2002"
"14.02","Caricion fuscae","Koch 1926 em. Klika 1934"
"14.02.01","Calliergono straminei-Jucetum filiformis","Nègre 1972"
"14.02.02","Caricetum echinato-nigrae","(Rivas-Martínez 1964) 2002"
"14.02.03","Caricetum fuscae","Br.-Bl. 1915"
"14.02.04","Caricetum rostratae","Osvald 1923 em. Dieráen 1982"
"14.02.05","Carici echinatae-Trichophoretum caespitosi","Rivas-Martínez, Costa & P. Soriano 2002"
"14.02.06","Carici nigrae-Sphagnetum recurvi","Rivas Goday & Rivas-Martínez ex F. Prieto, M.C. Fernández & Collado 1987"
"14.02.07","Eleocharitetum quinqueflorae","Ludi 1921"
