"Código","Nombre oficial","Autor"
"37.11","Argyranthemo suculenti-Calendulion maderensis","Capelo, J.C. Costa, Lousã, Fontinha, Jardim, Sequeira & Rivas-Martínez 2000"
"37.11.01","Calendulo maderensis-Suaedetum verae","Capelo, J.C. Costa, Lousã, Fontinha, Jardim, Sequeira & Rivas-Martínez 2000"
"37.12","Nicotiano glaucae-Ricinion communis","Rivas-Martínez, Fernández-González & Loidi 1999"
"37.12.01","Polycarpaeo-Nicotianetum glaucae","Sunding 1972"
"37.12.02","Tropaeolo majoris-Ricinetum communis","Rivas-Martínez, Wildpret, Del Arco, O. Rodríguez, Pérez de Paz, García Gallo, Acebes, T.E. Díaz & Fernández-González 1993"
"38","Polygono-Poetea annuae","Rivas-Martínez 1975"
"38.01","Saginion procumbentis","Tüxen & Ohba in Géhu, Richard & Tüxen 1972"
"38.01.01","Sagino-Bryetum argentei","Diemont, Sissingh & Westhoff 1940"
"38.02","Matricario-Polygonion arenastri","Rivas-Martínez 1975 corr. Rivas-Martínez, Báscones, T.E. Díaz, Fernández-González & Loidi 1991"
"38.02.01","Eragrostio-Polygonetum avicularis","Oberdorfer 1952"
"38.02.02","Matricario-Polygonetum arenastri","Müller ex Oberdorfer 1971 corr. Passarge 1996"
"38.02.03","Spergulario rubrae-Corrigioletum litoralis","Hülbusch & Tüxen in Tüxen 1979"
"38.02.04","Spergulario rubrae-Herniarietum glabrae","Gödde 1988"
"38.03","Sclerochloo durae-Coronopodion squamati","Rivas-Martínez 1975"
"38.03.01","Coronopodo procumbentis-Sclerochloetum durae","Br.-Bl. in Br.-Bl., Gajewski, Wraber & Walas 1936"
"38.03.02","Poo annuae-Coronopodetum squamati","(Oberdorfer 1957) Gutte 1966"
"38.03.03","Polycarpo tetraphylli-Coronopodetum squamati","Rivas-Martínez, Wildpret, Del Arco, O. Rodríguez, Pérez de Paz, García Gallo, Acebes, T.E. Díaz & Fernández-González 1993"
"38.03.04","Sclerochloo durae-Polygonetum arenastri","Soó ex Korneck 1969 corr. Mucina 1993"
"38.04","Polycarpion tetraphylli","Rivas-Martínez 1975"
"38.04.01","Crassulo tillaeae-Saginetum apetalae","Rivas-Martínez 1975"
"38.04.02","Crepido pusillae-Filaginetum petro-ianii","Llorens & Gil 2002"
"38.04.03","Polycarpo tetraphylli-Cotuletum australis","Wildpret, Pérez de Paz, Del Arco & García Gallo 1988"
"38.04.04","Poo annuae-Coronopodetum didymi","Carretero & Aguilella 1995"
"38.04.05","Poo annuae-Spergularietum salinae","Herrera, Aedo, T.E. Díaz & F. Prieto 1988"
"38.04.06","Schismo barbati-Filaginetum congestae","O. Bolòs (1948) 1975"
"38.04.07","Solivetum stoloniferae","Rivas-Martínez 1975"
"38.04.08","Spergulario rubrae-Matricarietum aureae","(Rivas Goday 1955) Rivas-Martínez 1975"
"38.05","Euphorbion prostratae","Rivas-Martínez 1976"
"38.05.01","Euphorbietum chamaesyco-prostratae","Rivas-Martínez 1976"
"38.05.02","Euphorbio-Eleusinetum geminatae","O. Bolòs & A. Marcos 1953"
"38.05.03","Euphorbio serpentis-Alternantheretum caracasanae","Costa & Figuerola 1983 corr. Carretero & Aguilella 1995"
"38.05.04","Gnaphalio luteo-albi-Polycarpetum tetraphylli","Ortiz & J. Rodríguez 1991"
"38.05.05","Polycarpo-Alternantheretum","Oberdorfer ex Lohmeyer & Trautmann 1970"
"39","Stellarietea mediae","Tüxen, Lohmeyer & Preising ex von Rochow 1951"
"39.01","Caucalidion lappulae","Tüxen ex von Rochow 1951"
"39.01.01","Androsaco maximae-Iberidetum amarae","Rivas Goday & Borja 1961"
"39.01.02","Biforo radiantis-Centaureetum cyani","Vigo, Carreras, Carrillo & I. Soriano in Carreras, Carrillo, X. Font, Masalles, Ninot, I. Soriano & Vigo 1998"
"39.01.03","Caucalido lappulae-Neslietum apiculatae","Tüxen & Oberdorfer 1958"
"39.01.04","Chaenorhino minoris-Euphorbietum longistylae","Rivas Goday & Borja 1961"
"39.01.05","Iberidetum pinnatae","Br.-Bl. 1915"
"39.01.06","Kickxio spuriae-Nigelletum gallicae","Fanlo 1988"
"39.01.07","Polycnemo arvensis-Linarietum spuriae","Br.-Bl. in Br.-Bl., Gajewski, Wraber & Walas 1936"
"39.01.08","Violo arvensis-Legousietum hybridae","O. Bolòs 1959"
"39.02","Roemerion hybridae","Br.-Bl. ex Rivas-Martínez, Fernández-González & Loidi 1999"
"39.02.01","Alopecuro-Galietum spurii","O. Bolòs 1956"
"39.02.02","Bunio incrassati-Galietum tricornis","Br.-Bl. in Br.-Bl., Gajewski, Wraber & Walas 1936"
"39.02.03","Centaureo collinae-Galietum valantiae","O. Bolòs 1962"
"39.02.04","Centaureo-Galietum verrucosi","O. Bolòs 1962"
"39.02.05","Euphorbio falcatae-Ammietum majoris","O. Bolòs 1996"
"39.02.06","Hypecoo imberbis-Iondrabetum auriculatae","Esteve 1973"
"39.02.07","Linario hirtae-Galietum tricornuti","Rivas Goday 1964"
"39.02.08","Lolio rigidi-Anthemidetum oretanae","Carretero 1996"
"39.02.09","Ridolfio segeti-Linarietum triphyllae","O. Bolòs, Molinier & P. Montserrat 1970"
"39.02.10","Roemerio hybridae-Hypecoetum penduli","Br.-Bl. & O. Bolòs 1954"
"39.02.11","Valerianello discoideae-Bupleuretum lancifolii","Rivas Goday 1964"
"39.02.12","Veronico triphylli-Cerastietum dichotomi","Rivas-Martínez & C. Rivas-Martínez 1970"
"39.02.13","Violo arvensis-Jonopsidietum abulensis","Rivas-Martínez & C. Rivas-Martínez in Rivas-Martínez 1975"
"39.03","Ridolfion segetum","Nègre ex Rivas-Martínez, Fernández-González & Loidi 1999"
"39.03.01","Ridolfio segeti-Capnophylletum peregrini","Guinochet 1978"
"39.04","Scleranthion annui","(Kruseman & Vlieger 1939) Sissingh in Westhoff, Dijk & Passchier 1946"
"39.04.01","Airo cupanianae-Papaveretum rhoeadis","O. Bolòs 1959"
"39.04.02","Centaureo cyani-Raphanetum microcarpi","Penas, T.E. Díaz, P. Morales, Puente, M.E. García & Terrón 1988"
"39.04.03","Chrysanthemo segetum-Raphanetum microcarpi","Bellot 1951"
"39.04.04","Lolio-Filaginetum arvensis","O. Bolòs 1967"
"39.04.05","Miboro minimae-Arabidopsietum thalianae","Rivas-Martínez & C. Rivas-Martínez 1970"
"39.04.06","Myosotido collinae-Spergularietum segetalis","Rivas Goday & Borja 1961"
"39.04.07","Raphanetum landrae","O. Bolòs, Molinier & P. Montserrat 1970"
"39.04.08","Scleranthetum annui","Br.-Bl. 1915"
"39.04.09","Catapodietum patentis","Br.-Bl., P. Silva, Rozeira & Fontes 1952"
"39.04.10","Linario delphinioidis-Arnoseridetum","Bellot & Casaseca in Casaseca 1959"
"39.04.11","Linario elegantis-Anthoxanthetum aristati","Tüxen & Oberdorfer 1958"
"39.04.12","Rumici bucephalophori-Arnoseridetum minimae","Malato-Beliz ex. A.Valdés 1985"
"39.04.13","Spergulario purpureae-Arnoseridetum minimae","Rivas-Martínez & C. Rivas-Martínez 1970"
"39.04.14","Chrysanthemo myconis-Anthemidetum fuscatae","Rivas Goday 1964"
"39.04.15","Linario amethysteae-Calenduletum arvensis","Izco 1982"
"39.05","Polygono-Chenopodion polyspermi","Koch 1926"
"39.05.01","Amarantho hybridi-Chenopodietum polyspermi","Tüxen & Oberdofer 1958"
"39.05.02","Chenopodietum albo-polyspermi","O. Bolòs & Vigo in Vigo 1979"
"39.05.03","Fumario capreolatae-Veronicetum persicae","Aedo, Herrera, F. Prieto & T.E. Díaz 1988"
"39.05.04","Holosteo umbellati-Veronicetum persicae","Penas, T.E. Díaz, C. Pérez, Puente, M.E. García & Terrón 1988"
"39.05.05","Lamio amplexicaulis-Veronicetum hederifoliae","Aedo, Herrera, F. Prieto & T.E. Díaz 1988"
"39.05.06","Lamio dissecti-Panicetum cruris-galli","Tüxen & Oberdorfer 1958"
"39.05.07","Veronico-Chenopodietum hybridi","O. Bolòs & Vigo in Vigo 1979"
"39.05.08","Digitario-Galinsogetum parviflorae","Tüxen & Becker 1942"
"39.05.09","Euphorbio nutantis-Digitarietum sanguinalis","O. Bolòs & Masalles 1983"
"39.05.10","Setario glaucae-Echinochloetum coloni","O. Bolòs 1956"
"39.05.11","Setario pumilae-Rumicetum obtusifolii","Masalles & Sans 1988"
"39.05.12","Setario verticillatae-Echinochloetum cruris-galli","Peinado, Bartolomé & Martínez-Parras 1985"
"39.05.13","Sileno rubellae-Urospermetum picroidis","Esteve 1973"
"39.06","Diplotaxion erucoidis","Br.-Bl. in Br.-Bl., Gajewski, Wraber & Walas 1936"
"39.06.01","Amarantho delilei-Diplotaxietum erucoidis","Br.-Bl. in Br.-Bl., Gajewski, Wraber & Walas 1936"
"39.06.02","Atriplici-Silenetum rubellae","Br.-Bl. & O. Bolòs 1958"
"39.06.03","Atriplici roseae-Salsoletum ruthenicae","Rivas-Martínez 1979"
"39.06.04","Chenopodio albi-Amaranthetum blitoidis","Carretero 1995"
"39.06.05","Chrozophoro-Heliotropietum europaei","Rivas Goday 1964"
"39.06.06","Chrozophoro tinctoriae-Teucrietum spinosi","Galán 1996"
"39.06.07","Eragrostio-Amaranthetum deflexi","Rivas Goday 1964"
"39.06.08","Eragrostio majoris-Chenopodietum botryos","Br.-Bl. in Br.-Bl., Gajewski, Wraber & Walas 1936"
"39.06.09","Fedio cornucopiae-Diplotaxietum erucoidis","Rivas Goday 1964"
"39.06.10","Heliotropio europaei-Amaranthetum albi","Rivas Goday 1964"
"39.06.11","Inulo quadridentatae-Halogetonetum sativi","Rigual 1972"
"39.06.12","Kickxio lanigerae-Chrozophoretum tinctoriae","Izco 1975"
"39.06.13","Kickxio lanigerae-Tanacetetum annui","Galán 1996"
"39.06.14","Lobulario maritimae-Euphorbietum pineae","Costa, Peris & Figuerola 1983"
"39.06.15","Ranunculo trilobi-Diplotaxietum erucoidis","Carretero & Boira 1984"
"39.06.16","Tanacetetum microphylli","Izco 1975"
"39.07","Fumarion wirtgenii-agrariae","Brullo in Brullo & Marcenò 1985"
"39.07.01","Calendulo-Chrysanthemetum paludosi","O. Bolòs 1975"
"39.07.02","Citro-Oxalidetum pedis-caprae","O. Bolòs 1975"
"39.07.03","Diplotaxio erucoidis-Erucetum vesicariae","Rigual 1972"
"39.07.04","Fumarietum densifloro-parviflorae","P. Sánchez & Alcaraz 1993"
"39.07.05","Fumario densiflorae-Veronicetum hederifoliae","Brullo & Marcenò 1985"
"39.07.06","Poo annuae-Arabidopsietum thalianae","Carretero & Boira 1983"
"39.07.07","Poo annuae-Urticetum urentis","Carretero & Aguilella 1995"
"39.08","Chenopodion muralis","Br.-Bl. in Br.-Bl., Gajewski, Wraber & Walas 1936"
"39.08.01","Amarantho muricati-Chenopodietum ambrosioidis","O. Bolòs 1967"
"39.08.02","Atriplicetum patulo-hastatae","O. Bolòs & Masalles 1983"
"39.08.03","Bassietum hyssopifoliae","(Br.-Bl. & O. Bolòs 1958) Carretero & Aguilella 1995"
"39.08.04","Chenopodietum muralis","Br.-Bl. in Br.-Bl., Gajewski, Wraber & Walas 1936"
"39.08.05","Chenopodio albi-Conyzetum sumatrensis","Carretero 1994"
"39.08.06","Chenopodio muralis-Parietarietum judaicae","Rivas-Martínez & Sánchez-Mata in Sánchez-Mata 1989 corr. Rivas-Martínez & Sánchez-Mata 2002"
"39.08.07","Chenopodio-Descurainietum densiflorae","Rivas-Martínez 1964"
"39.08.08","Epilobio brachycarpi-Chenopodietum opulifolii","Rivas-Martínez, C. Navarro & Cantó 2002"
"39.08.09","Sisymbrietum erysimoidis","(Ladero, Socorro, Molero, M. López, Zafra, Marín, Hurtado & Pérez-Raya 1981) Rivas-Martínez & Ladero 2002"
"39.08.10","Sisymbrio irionis-Amaranthetum gracilis","Esteve 1973"
"39.08.11","Urtico urentis-Malvetum neglectae","(Knapp 1945) Lohmeyer in Tüxen 1950"
"39.08.12","Chenopodio muralis-Malvetum parviflorae","Lohmeyer & Trautmann 1970"
"39.08.13","Emici spinosae-Malvetum parviflorae","Rivas-Martínez in Rivas-Martínez, Costa, Castroviejo & E. Valdés 1980"
"39.08.14","Hyoscyamo albi-Lavateretum davaei","Carretero & Boira 1987"
"39.08.15","Hyoscyamo albi-Malvetum parviflorae","(Rivas Goday 1964) Rivas-Martínez 1979"
"39.08.16","Parietario judaicae-Urticetum membranaceae","Carretero & Aguilella 1995"
"39.08.17","Senecioni crassifolii-Sisymbrietum erysimoidis","Rivas-Martínez, Costa & Loidi 1992"
"39.08.18","Sisymbrio irionis-Lavateretum creticae","(Mateo & M.B. Crespo 1988) Carretero & Aguilella 1995"
"39.08.19","Sisymbrio irionis-Malvetum parviflorae","Rivas-Martínez 1979"
"39.09","Mesembryanthemion crystallini","Rivas-Martínez, Wildpret, Del Arco, O. Rodríguez, Pérez de Paz, García Gallo, Acebes, T.E. Díaz & Fernández-González 1993"
"39.09.01","Betetum patellaris","F. Casas 1971"
"39.09.02","Gasouletum crystallino-nodiflori","O. Bolòs 1957"
"39.09.03","Mesembryanthemetum crystallini","Sunding 1972"
"39.09.04","Spergulario bocconei-Mesembryanthemetum nodiflori","J.C. Costa in J.C. Costa, Lousã & Espírito-Santo 1997"
"39.10","Echio plantaginei-Galactition tomentosae","O. Bolòs & Molinier 1969"
"39.10.01","Anthoxantho ovati-Vulpietum geniculatae","Cantó 2002"
"39.10.02","Bromo diandri-Vulpietum fasciculatae","Carretero & Boira 1983"
"39.10.03","Coleostepho myconis-Galactitetum tomentosae","Izco & Collado 1985"
"39.10.04","Convolvulo siculi-Brachypodietum distachyi","O. Bolòs, Folch & Vigo in O. Bolòs 1989"
"39.10.05","Crepido bursifoliae-Plantaginetum lagopodis","Carrillo, Ninot, Pino & Sans 1992"
"39.10.06","Galactito tomentosae-Echietum plantaginei","Molinier 1937"
"39.10.07","Galactito tomentosae-Vulpietum membranaceae","O. Bolòs & Molinier 1969 corr. O. Bolòs, Molinier & P. Montserrat 1970"
"39.10.08","Galactito tomentosae-Brachypodietum distachyi","Rivas-Martínez, Wildpret, Del Arco, O. Rodríguez, Pérez de Paz, García Gallo, Acebes, T.E. Díaz & Fernández-González 1993"
"39.10.09","Tordylio officinalis-Vulpietum geniculatae","Tamajón, Pinilla & Muñoz 2000"
"39.10.10","Trifolietum angustifolio-campestris","O. Bolòs & Masalles 1983"
"39.10.11","Trifolio pallidi-Vulpietum geniculatae","Galán 1995"
"39.11","Linario polygalifoliae-Vulpion alopecuroris","Br.-Bl., Rozeira & P. Silva in Br.-Bl., G. Br.-Bl., Rozeira & P. Silva 1972"
"39.11.01","Chamaemelo mixti-Vulpietum alopecuroris","Rivas-Martínez, Costa, Castroviejo & E. Valdés in J.C. Costa, Lousã, Capelo, Espírito-Santo & Izco in J.C. Costa, Lousã, Capelo, Espírito-Santo, Izco & Arsenio 2000"
"39.11.02","Linario viscosae-Carduetum meonanthi","Rivas-Martínez, Costa, Castroviejo & E. Valdés 1980"
"39.11.03","Malcolmio littoreae-Vulpietum alopecuroris","Díez-Garretas, Hernández & Asensi 1975"
"39.11.04","Scrophulario frutescentis-Vulpietum alopecuroris","Br.-Bl., Rozeira & P. Silva in Br.-Bl., G. Br.-Bl., Rozeira & P. Silva 1972"
"39.11.05","Triplachno nitentis-Vulpietum alopecuroris","Peinado, Alcaraz & Martínez-Parras 1992"
"39.12","Resedo lanceolatae-Moricandion","F. Casas & M.E. Sánchez 1972"
"39.12.01","Brassico cossonianae-Eragrostietum papposae","Esteve 1973"
"39.12.02","Bupleuro semicompositi-Mairetietum microspermae","Reyes, Wildpret & León 2001"
"39.12.03","Iflogo spicatae-Stipetum capensis","(Esteve & Socorro 1977) Rivas-Martínez, Wildpret, Del Arco, O. Rodríguez, Pérez de Paz, García Gallo, Acebes, T.E. Díaz & Fernández-González 1993"
"39.12.04","Launaeo nudicaulis-Resedetum lancerotae","O. Rodríguez, García Gallo & Reyes 2001"
"39.12.05","Moricandio arvensis-Carrichteretum annuae","O. Bolòs 1957"
"39.12.06","Resedo lanceolatae-Moricandietum","Esteve & F. Casas 1970"
"39.12.07","Senecioni coronopifolii-Echietum bonnetii","Rivas-Martínez, Wildpret, Del Arco, O. Rodríguez, Pérez de Paz, García Gallo, Acebes, T.E. Díaz & Fernández-González 1993"
"39.12.08","Senecionetum incrassati","Pérez de Paz, Del Arco & Wildpret 1985"
"39.13","Taeniathero-Aegilopion geniculatae","Rivas-Martínez & Izco 1977"
"39.13.01","Aegilopo neglectae-Stipetum capensis","M.T. Santos ex Cano, A. García, Torres & Salazar 1998"
"39.13.02","Bromo fasciculati-Aegilopetum geniculatae","P. Sánchez, Alcaraz & De la Torre in P. Sánchez & Alcaraz 1993"
"39.13.03","Bromo hordeacei-Scleranthetum burnatii","Peñas, Cabello, F. Valle & Mota 1999"
"39.13.04","Bromo tectorum-Stipetum capensis","Rivas-Martínez & Izco 1977"
"39.13.05","Convolvulo siculi-Stipetum capensis","O. Bolòs & Vigo in O. Bolòs 1989"
"39.13.06","Drabo lutescentis-Hohenackerietum exscapae","Mota, Peñas & Cabello 1987"
"39.13.07","Echio italici-Aegilopetum ventricosae","O. Bolòs 1996"
"39.13.08","Gastridio ventricosi-Trifolietum scabri","Rivas Goday 1964"
"39.13.09","Medicagini littoralis-Stipetum capensis","M.B. Crespo 2002"
"39.13.10","Medicagini rigidulae-Aegilopetum geniculatae","Rivas-Martínez & Izco 1977"
"39.13.11","Orlayo grandiflorae-Aegilopetum geniculatae","Romo ex Rivas-Martínez & Izco 2002"
"39.13.12","Plantagini lagopodis-Trifolietum cherleri","Franquesa 1995"
"39.13.13","Reichardio gracilis-Stipetum capensis","Rivas-Martínez, Costa & Loidi 1992"
"39.13.14","Taeniathero-Alyssetum lusitanici","P. Silva 1970"
"39.13.15","Torilido-nodosae-Scandicetum australis","Izco 1978"
"39.13.16","Trifolietum angustifolio-glomerati","Roselló 1994"
"39.13.17","Trifolio cherleri-Taeniatheretum capitis-medusae","Rivas-Martínez & Izco 1977"
"39.14","Alysso granatensis-Brassicion barrelieri","Rivas-Martínez & Izco 1977"
"39.14.01","Chamaemeletum mixti","Ruiz & A. Valdés 1987"
"39.14.02","Coincyo setigerae-Brassicetum barrelieri","Rivas-Martínez, Ladero, Belmonte & Sánchez-Mata in Sánchez-Mata 1989"
"39.14.03","Coincyo transtaganae-Brassicetum barrelieri","Cano, N. Sánchez & F. Valle 1996"
"39.14.04","Coincyo setigerae-Sisymbrietum chrysanthi","Rivas-Martínez & Sánchez-Mata in Sánchez-Mata 1989"
"39.14.05","Papaveri argemones-Sisymbrietum contorti","Rivas-Martínez & Izco 1977"
"39.14.06","Rhynchosinapio hispidae-Brassicetum barrelieri","Rivas-Martínez & Izco 1977"
"39.15","Cerintho majoris-Fedion cornucopiae","Rivas-Martínez & Izco ex Peinado, Martínez-Parras & Bartolomé 1986"
"39.15.01","Arenario hispanicae-Chamaemeletum fuscati","Galán 1995"
"39.15.02","Convolvulo meonanthi-Hedysaretum coronarii","Peinado, Martínez-Parras & Bartolomé 1986"
"39.15.03","Fedio cornucopiae-Sinapietum mairei","Peinado, Martínez-Parras & Bartolomé 1986"
"39.15.04","Tetragonolobo purpurei-Fedietum cornucopiae","Nezadal 1989"
"39.16","Hordeion leporini","Br.-Bl. in Br.-Bl., Gajewski, Wraber & Walas 1936 corr. O. Bolòs 1962"
"39.16.01","Anacyclo radiati-Hordeetum leporini","O. Bolòs & Rivas-Martínez in Rivas-Martínez 1978"
"39.16.02","Asphodelo fistulosi-Hordeetum leporini","A. & O. Bolòs in O. Bolòs 1956"
"39.16.03","Bromo madritensis-Galactitetum tomentosae","O. Bolòs, Molinier & P.Monserrat 1970"
"39.16.04","Bromo scoparii-Hordeetum leporini","Rivas-Martínez 1978"
"39.16.05","Bromo-Hirschfeldietum incanae","Oberdorfer ex Lohmeyer 1975"
"39.16.06","Euphorbio terracinae-Anacycletum coronati","Reyes, Wildpret & León 2001"
"39.16.07","Hordeetum leporini","Br.-Bl. in Br.-Bl., Gajewski, Wraber & Walas 1936"
"39.16.08","Hordeo leporini-Glossopappetum macroti","Peinado, Martínez-Parras & Bartolomé 1986"
"39.16.09","Iondrabo auriculatae-Erucetum vesicariae","Rivas-Martínez 1978"
"39.16.10","Papaveri rhoeadis-Diplotaxietum virgatae","Rivas-Martínez 1978"
"39.16.11","Rapistro rugosi-Sisymbrietum crassifolii","Rivas-Martínez 1978"
"39.16.12","Resedo albae-Chrysanthemetum coronarii","O. Bolòs & Molinier 1958"
"39.16.13","Schismo calycini-Malvetum trifidae","Br.-Bl., Font Quer, G. Br.-Bl., Frey, Jansen, & Moor 1936"
"39.16.14","Sisymbrio irionis-Sinapietum mairei","P. Prieto, Espinosa & S. Fernández 1973"
"39.17","Sisymbrion officinalis","Tüxen, Lohmeyer & Preising in Tüxen 1950"
"39.17.01","Hordeetum murini","Libbert 1933"
"39.17.02","Sisymbrio officinalis-Asperuginetum procumbentis","Rebholz 1931"
"39.17.03","Sisymbrio officinalis-Hordeetum murini","Br.-Bl. 1967"
"40","Galio-Urticetea","Passarge ex Kopeckì 1969"
"40.01","Aegopodion podagrariae","Tüxen 1967"
"40.01.01","Chaerophylletum aurei","Oberdorfer 1957"
"40.01.02","Chaerophyllo aurei-Geranietum phaei","Gil, Perdigó & Vigo in X. Font, Ninot, Perdigó & Vigo 1988"
"40.01.03","Galio aparines-Anthriscetum sylvestris","Loidi, Berastegi, Biurrun, García-Mijangos & Herrera 1995"
"40.01.04","Salvio glutinosae-Euphorbietum villosae","O. Bolòs 1956 corr. O. Bolòs & Masalles 1983"
"40.01.05","Urtico-Aegopodietum podagrariae","Tüxen in Görs 1968"
"40.02","Galio-Alliarion petiolatae","Oberdorfer & Lohmeyer in Oberdorfer, Görs, Korneck, Lohmeyer, Müller, Philippi & Seibert 1967"
"40.02.01","Alliario petiolatae-Chaerophylletum temulenti","Lohmeyer 1949"
"40.02.02","Arabido alpinae-Sisymbrietum macrolomatis","Escudero & Pajarón in Escudero & A. Herrero 1995"
"40.02.03","Geranietum robertiano-lucidi","Loidi, Berastegi, Biurrun, García-Mijangos & Herrera 1995"
"40.02.04","Geranio robertiani-Caryolophetum sempervirentis","Izco, J. Guitián & Amigo 1986"
"40.02.05","Lapsano-Sisonetum amomi","O. Bolòs & Masalles 1983"
"40.02.06","Moehringio trinerviae-Geranietum lucidi","Romo 1989"
"40.02.07","Myrrhoidi nodosae-Alliarietum petiolatae","Rivas-Martínez & Mayor ex Fuente 1986"
"40.02.08","Pentaglottido sempervirentis-Scrophularietum reuteri","Rivas-Martínez 1981 corr. Rivas-Martínez, Fernández-González & Sánchez-Mata 1986"
"40.02.09","Oxalido acetosellae-Geranietum robertiani","Loidi, Berastegi, Biurrun, García-Mijangos & Herrera 1996"
"40.02.10","Sileno dioicae-Geranietum phaei","Romo 1986"
"40.02.12","Chelidonio majoris-Smyrnietum olusatri","Amigo & Romero 1997"
