"Código","Denominación","Observaciones"
"J.02.06.04","Captaciones de agua para la producción de electricidad (enfriamiento)",""
"J.02.06.05","Captaciones de agua para piscifactorías",""
"J.02.06.06","Captaciones de agua para la obtención de hidroenergía","no para enfriamiento"
"J.02.06.07","Captaciones de agua para canteras/ minas y para canteras a cielo abierto (carbón)",""
"J.02.06.08","Captaciones de agua para la navegación","e.g. para suministro de canales"
"J.02.06.09","Captaciones de agua para transvases",""
"J.02.06.10","Otras captaciones de agua mayores",""
"J.02.07","Captaciones de agua subterránea",""
"J.02.07.01","Captaciones de agua subterránea para agricultura",""
"J.02.07.02","Captaciones de agua subterránea para abastecimiento público",""
"J.02.07.03","Captaciones de agua subterránea para uso industrial","En la Directiva Marco se hace referencia a las actividades industriales incluidas en la Directiva IPPC "
"J.02.07.04","Captaciones de agua subterránea para canteras/ minas y canteras a cielo abierto (carbón)",""
"J.02.07.05","Otras captaciones de agua mayores destinadas a la agricultura",""
"J.02.08","Subida del nivel freático/ recarga artificial de acuíferos",""
"J.02.08.01","Vertidos a aguas subterráneas con fines de recarga artificial",""
"J.02.08.02","Regreso del agua subterránea captada al acuífero de origen","e.g. procedentes del lavado de arena y gravilla"
"J.02.08.03","Rebotes de agua de mina",""
"J.02.08.04","Otras recargas de agua subterránea mayores",""
"J.02.09","Intrusiones de agua salada en agua subterránea",""
"J.02.09.01","Intrusiones de agua salada",""
"J.02.09.02","Otras intrusiones",""
"J.02.10","Gestión de la vegetación acuática para facilitar el drenaje",""
"J.02.11","Vertederos, depósitos de material de dragado",""
"J.02.11.01","Escombreras, deposición de material dragado",""
"J.02.11.02","Otros cambios en la tasa de acumulación de sedimentos",""
"J.02.12","Diques, muros de contención, playas artificiales, general",""
"J.02.12.01","Barreras de contención del mar y otras obras marinas de protección del litoral, presas de marea","Directiva Marco del Agua: incluye presas de contención para protección de inundaciones y para la generación de energía maremotriz"
"J.02.12.02","Diques y barreras de contención en los sistemas de aguas continentales",""
"J.02.13","Abandono de la gestión de los cuerpos de agua",""
"J.02.14","Alteración de la calidad del agua provocada por cambios inducidos en la salinidad ","aguas marinas y costeras, e.g. crecimiento de algas en arrecifes"
"J.02.15","Otras alteraciones inducidas en las condiciones hidrológicas",""
"J.03","Otras alteraciones de los ecosistemas",""
"J.03.01","Disminución o perdida de las características específicas de un hábitat",""
"J.03.01.01","Disminución de la disponibilidad de presas (incluyendo carroña)","e.g. para aves de presa"
"J.03.02","Disminución de la conectividad de los hábitats debida a causas antropogénicas","fragmentación"
"J.03.02.01","Disminución de la migración/ barreras migratorias",""
"J.03.02.02","Disminución de la dispersión",""
"J.03.02.03","Disminución del intercambio genético",""
"J.03.03","Disminución, ausencia o prevención de la erosión",""
"J.03.04","Investigación aplicada destructiva (industrial)","e.g. investigación científica marina en sentido general"
"K","Procesos naturales bióticos y abióticos (exceptuando catástrofes)",""
"K.01","Procesos abióticos naturales (lentos)",""
"K.01.01","Erosión",""
"K.01.02","Colmatación",""
"K.01.03","Desecación",""
"K.01.04","Hundimientos",""
"K.01.05","Salinización de suelos",""
"K.02","Evolución biocenótica, sucesiones",""
"K.02.01","Cambios en la composición de especies (sucesiones)",""
"K.02.02","Acumulación de materia orgánica",""
"K.02.03","Eutrofización (natural)",""
"K.02.04","Acidificación (natural)",""
"K.03","Relaciones interespecíficas de fauna",""
"K.03.01","Competición","e.g. gaviota/ estérnidos"
"K.03.02","Parasitismo",""
"K.03.03","Introducción de enfermedades",""
"K.03.04","Depredación",""
"K.03.05","Antagonismos derivados de la introducción de especies",""
"K.03.06","Antagonismos por animales domésticos",""
"K.03.07","Otras formas de competición faunística interespecífica",""
"K.04","Relaciones interespecíficas de flora",""
"K.04.01","Competición",""
"K.04.02","Parasitismo",""
"K.04.03","Introducción de enfermedades",""
"K.04.04","Ausencia de agentes polinizadores",""
"K.04.05","Daños causados por herbívoros (incluyendo especies de caza)",""
"K.05","Reducción de la fecundidad/ disminución de variabilidad genética","e.g. debidas a tasas de población muy bajas"
"K.05.01","Disminución de la fecundidad/ disminución de la variabilidad genética en animales (endogamia)",""
"K.05.02","Disminución de la fecundidad/ disminución de la variabilidad genética en plantas (incluye endogamia)",""
"K.06","Otras formas o formas mixtas de competición interespecífica de flora",""
"L","Catástrofes naturales y acontecimientos geológicos",""
"L.01","Actividad volcánica",""
"L.02","Maremotos, tsunamis",""
"L.03","Terremotos",""
"L.04","Avalanchas",""
"L.05","Hundimientos, movimientos de tierras",""
"L.06","Hundimientos subterráneos",""
"L.07","Tormentas, ciclones",""
"L.08","Inundaciones (procesos naturales)",""
"L.09","Incendios (naturales)",""
"L.10","Otras catástrofes naturales",""
"M","Cambio climático",""
"M.01","Cambios en las condiciones abióticas",""
"M.01.01","Aumento de la temperatura y temperaturas extremas",""
"M.01.02","Sequía y disminución de la precipitación",""
"M.01.03","Inundaciones y aumento de la precipitación",""
"M.01.04","Alteraciones en el pH",""
"M.01.05","Alteraciones en el flujo hídrico (fluvial, mareal y oceánico)",""
"M.01.06","Alteraciones en la exposición al oleaje",""
"M.01.07","Cambios en el nivel del mar",""
"M.02","Cambios en las condiciones bióticas",""
"M.02.01","Cambios y alteraciones de hábitat",""
"M.02.02","Desincronización de procesos",""
"M.02.03","Disminución o extinción de especies",""
"M.02.04","Migración de especies (colonizadores naturales)",""
"U ","Amenaza o presión desconocida",""
"X","No presiones o amenazas",""
"X.01","Amenazas y presiones de origen externo al territorio de la Unión Europea",""
"X.02","Amenazas y presiones de origen externo al país miembro ",""
